"FileName","Text"
"page_0028_line_01.png","a raven, a crow, (IQ-mi) (ii-5.) "
"page_0028_line_02.png","a raven. "
"page_0028_line_03.png","13 3C met, not g1 sound to be heard. "
"page_0028_line_04.png","' opium (ibng???ng). "
"page_0028_line_05.png","an opium shop. "
"page_0028_line_06.png","a Vigtilll of tHe opium habit. ??"
"page_0028_line_07.png","opium, as prepared for smoking. "
"page_0028_line_08.png","con??med in the habit of smoking Opium. "
"page_0028_line_09.png","-r??, dregs of opium, as adhering to the pipe. v . "
"page_0028_line_10.png","-__- m. __ crude opium, opium balls. "
"page_0028_line_11.png","a phone??ic particle. N r r "
"page_0028_line_12.png","a Eicada, W}ongly called locust. "
"page_0028_line_13.png","a nurse of children. "
"page_0028_line_14.png","E ammonia. "
"page_0028_line_15.png","M forked. r "
"page_0028_line_16.png","a srlave??ir??. "
"page_0028_line_17.png","a female slave. "
"page_0028_line_18.png","2% a slave girl. ??"
"page_0028_line_19.png",". ugly, ??e??secpnd ??n order. ??"
"page_0028_line_20.png","AEfd (belgw). "
"page_0028_line_21.png","the second son. "
"page_0028_line_22.png","[1 Africa, (hi??i??. "
"page_0028_line_23.png","linseed, "
"page_0028_line_24.png","[1 America (mi-ci?? . "
"page_0028_line_25.png","Asia. , "
"page_0028_line_26.png","the secondary sage, Menc??us. , "
"page_0028_line_27.png","like, similar. ??' "
"page_0028_line_28.png","dumb. same. I "
"page_0028_line_29.png","a dumb man (bang??L). "
"page_0028_line_30.png","dumbness. "
"page_0028_line_31.png"," the dumb eat the' (bitter) ubng- li?ng herb, met, one dumb with grief. A "
"page_0028_line_32.png","bu--.  nothing to say in defence of him- self. "
"page_0029_line_01.png","dumb??dls, N. "
"page_0029_line_02.png","an enigma, a riddle. "
"page_0029_line_03.png","to snap, to break in N70. "
"page_0029_line_04.png","to break sugar cane, easily. "
"page_0029_line_05.png","a tria] of strength, refractory. "
"page_0029_line_06.png","[???to snap 01??break in two. "
"page_0029_line_07.png","to p1u?k ??wers, (di?h??u??. "
"page_0029_line_08.png","I?? to snap or break in'two. "
"page_0029_line_09.png","??to break in two or more pieces, "
"page_0029_line_10.png","to bend. ??"
"page_0029_line_11.png","??related by marriage (Eng??1') . . "
"page_0029_line_12.png","a disjunctive or exclamatory par- ticIe. "
"page_0029_line_13.png","ammonium NH 3 "
"page_0029_line_14.png",""
"page_0029_line_15.png","argon. ' "
"page_0029_line_16.png","a word at the end of a sentence (hg??????). r _ "
"page_0029_line_17.png","below, afterwards, a time. "
"page_0029_line_18.png","i ) (a; chin. ' ' "
"page_0029_line_19.png","51 next tune, hereafter. "
"page_0029_line_20.png","o?? ahd a, hiailfrgthe last half. "
"page_0029_line_21.png","th? small hours of the night. "
"page_0029_line_22.png","the next half day. 7 a "
"page_0029_line_23.png","lower part of b?dy; later section of book. "
"page_0029_line_24.png","lower front curtain of a sedan. "
"page_0029_line_25.png","to get out of a carriage, next steamer, (I?h-chii). ??"
"page_0029_line_26.png","7' '"""""" V ' ??\75?? ????l ??mean, sordid. "
"page_0029_line_27.png","i) the next time. "
"page_0029_line_28.png","U to get up ( f rom bed) (ligh??hbng). "
"page_0029_line_29.png","below. "
"page_0029_line_30.png","1) 1?? afternoon. "
"page_0029_line_31.png","lower class, (gi?????ng). El "
"page_0029_line_32.png"," met. the best comes last. "
"page_0029_line_33.png","the lower portion ot the human body, (it-sing), the test. "
"page_0029_line_34.png","J??K 01??-??_ 7'7?? next class. "
"page_0030_line_01.png","the lower regions, to come into the world. "
"page_0030_line_02.png","the late watch (bu?ng-m?ng). - "
"page_0030_line_03.png","to descend (gang??1:19. w "
"page_0030_line_04.png","the Min river below Foochow. "
"page_0030_line_05.png","the next season, next term. "
"page_0030_line_06.png","to get out of a sedan chair. "
"page_0030_line_07.png","the lower prefectures of Fukien. "
"page_0030_line_08.png","incarnation, to descend into the world. "
"page_0030_line_09.png","the next time. "
"page_0030_line_10.png","used of the southern Fukien coastal districts. "
"page_0030_line_11.png","servants, attendants. "
"page_0030_line_12.png","' the lower classes of society. "
"page_0030_line_13.png","S. E. maritime district of Fukien. "
"page_0030_line_14.png","?? the next time, hereafter. "
"page_0030_line_15.png","a future year. "
"page_0030_line_16.png","a future (by. "
"page_0030_line_17.png","' J the lower house of parhament ( c?gng??gi?-i?ng) . "
"page_0030_line_18.png","next month "
"page_0030_line_19.png","'- sdrdid, niggardly r "
"page_0030_line_20.png","lower (pogtuion 6f human body, (fl??16mg). ??"
"page_0030_line_21.png","\7??W 7 ?? / V a secret relationship, hidden in- ??ence "
"page_0030_line_22.png","subordinate. "
"page_0030_line_23.png","a mansion, Amoy. "
"page_0030_line_24.png","Amoy. r ????_ ??"
"page_0030_line_25.png","the :Amoy dg?? (a geographical district). "
"page_0030_line_26.png","the crying of a child (?????. M "
"page_0030_line_27.png","as bel?w: ??I "
"page_0030_line_28.png","behind. , "
"page_0030_line_29.png","to delay, to push, ngxti I "
"page_0030_line_30.png","E) in reg??? ratatioh (ch?g-s?g). "
"page_0030_line_31.png","W delay: to be late  77 77 "
"page_0030_line_32.png","to p891: the helm (???hg-d???): "
"page_0030_line_33.png","to aelay until dark. V v "
"page_0030_line_34.png","to deleiy, to wait. ??"
"page_0031_line_01.png","to push the quern and grind grain. "
"page_0031_line_02.png","delay, to be late. behind time, late. "
"page_0031_line_03.png","to loaf, to waste time. "
"page_0031_line_04.png","to delagr  whol?  "
"page_0031_line_05.png","short, diminutive "
"page_0031_line_06.png","black imps in idol procession. a dwarf. "
"page_0031_line_07.png","a dwarf: looking at theatre, and, one who agrees to everything said. "
"page_0031_line_08.png","a small breed (men or lower animals. ) a "
"page_0031_line_09.png","a small frame, as of fowl??. "
"page_0031_line_10.png","a dwarf. ??"
"page_0031_line_11.png","same as g-cg???ng-hi?, (1.21. "
"page_0031_line_12.png","the crouching posture of a boxer. "
"page_0031_line_13.png","OLV 77>7V '_ ??'??'??????a dwarf, a midget, mean. "
