"FileName","Text"
"page_0028_line_01.png","a raven, a crow, (lg-mi) (ii-i) "
"page_0028_line_02.png","a raven.   "" v   , "
"page_0028_line_03.png","i; it met, not a sound to be heard. "
"page_0028_line_04.png","r opium (ibng-hbng). "
"page_0028_line_05.png","ail opiuih shvop. w "
"page_0028_line_06.png","a viclim of tlie opium habit. r   "
"page_0028_line_07.png","opium, as preparzad for smoking. "
"page_0028_line_08.png","cgnftrmed in the habit of smokiag opium. "
"page_0028_line_09.png","dregs of opium, as adhering to the pipe. v . "
"page_0028_line_10.png","crude rolsium, opium balls. "
"page_0028_line_11.png","a phoneiic particle. w r r "
"page_0028_line_12.png","a gicada, wlongly called locust. "
"page_0028_line_13.png","a nurse (of chiludixen. "
"page_0028_line_14.png","g ammonia. "
"page_0028_line_15.png","m forked. -   "
"page_0028_line_16.png","a glavq girl. "
"page_0028_line_17.png","a femalg slave. "
"page_0028_line_18.png","f; a slave girl.   "
"page_0028_line_19.png",". ugly, gig secpnd in order. r "
"page_0028_line_20.png","fish (belgw). "
"page_0028_line_21.png","the sehond s-on. "
"page_0028_line_22.png","n :l-xfricaj (lwciti). "
"page_0028_line_23.png","r linseed, r   w   "
"page_0028_line_24.png","n jhnerica (mi-chi). "
"page_0028_line_25.png","  mm. "" ,h "
"page_0028_line_26.png","the secondary sage, bdencius. v "
"page_0028_line_27.png","like, similar;   . "
"page_0028_line_28.png","dumb. same. . "
"page_0028_line_29.png","a dumb man (bang-i). "
"page_0028_line_30.png","dumbness. "
"page_0028_line_31.png",";g the dumb eat the (bitter) ubng- libng herb, met, one dumb with grief. ; "
"page_0028_line_32.png"," mail; to say in defence of him- se . "
"page_0029_line_01.png","dumb-bells, bl. "
"page_0029_line_02.png","an enigma, a riddle. "
"page_0029_line_03.png","to snag, td break in two. "
"page_0029_line_04.png","to break sugar cane, easily. "
"page_0029_line_05.png","a trial of stvmngth, refrac-tnry. "
"page_0029_line_06.png","lg to snap or break in two. . "
"page_0029_line_07.png","to plutck flowers, (dizih-hua). "
"page_0029_line_08.png","(if; to gnap or break iixtwo. . "
"page_0029_line_09.png","  to break in two or more pieces, "
"page_0029_line_10.png","to bend. - "
"page_0029_line_11.png","  related by marriage (ing-i) . . "
"page_0029_line_12.png","  a disjuntgtive or egccliunatoxjy par- ticle. "
"page_0029_line_13.png","ammonium my a "
"page_0029_line_14.png",""
"page_0029_line_15.png","argon. "" "
"page_0029_line_16.png","a word at the end of a sentence (lug-a). r . "
"page_0029_line_17.png","below, afterwards, a time. "
"page_0029_line_18.png","i) (a: chin. ,   "
"page_0029_line_19.png","  , next time, hereafter. "
"page_0029_line_20.png","olie ahd a, hiailfrgthe last half. "
"page_0029_line_21.png","they smali ham-g raft mi; night. "
"page_0029_line_22.png","the next half day. r a "
"page_0029_line_23.png","lower part of bgdy; later section of book. "
